Player,Runs_2021,Runs_2022,Total_Runs
"Jos Buttler",254,863,1117
"Faf du Plessis",633,468,1101
"Shikhar Dhawan",587,460,1047
"Ruturaj Gaikwad",635,368,1003
"Shubman Gill",478,483,961
"Sanju Samson",484,458,942
"Glenn Maxwell",513,301,814
"Rahul Tripathi",397,413,810
"Quinton de Kock",297,508,805
"Devdutt Padikkal",411,376,787
"Prithvi Shaw",479,283,762
"Rishabh Pant",419,340,759
"Virat Kohli",405,341,746
"Nitish Rana",383,361,744
"Ishan Kishan",241,418,659
"Rohit Sharma",381,268,649
"Mayank Agarwal",441,196,637
"David Warner",195,432,627
"Suryakumar Yadav",317,303,620
"Hardik Pandya",127,487,614
"Deepak Hooda",160,451,611
"David Miller",124,481,605
"Moeen Ali",357,244,601
"Shreyas Iyer",175,401,576
"Shimron Hetmyer",242,314,556
"Dinesh Karthik",223,330,553
"Venkatesh Iyer",370,182,552
"Ambati Rayudu",257,274,531
"Aiden Markram",146,381,527
"Abhishek Sharma",98,426,524
"Shivam Dube",230,289,519
"Andre Russell",183,335,518
"Yashasvi Jaiswal",249,258,507
"Jonny Bairstow",248,253,501
"Kane Williamson",266,216,482
"Liam Livingstone",42,437,479
"Wriddhiman Saha",131,317,448
"Rajat Patidar",71,333,404
"Nicholas Pooran",85,306,391
"Kieron Pollard",245,144,389
"Manish Pandey",292,88,380
"Rahul Tewatia",155,217,372
"MS Dhoni",114,232,346
"Robin Uthappa",115,230,345
"Ravindra Jadeja",227,116,343
"Krunal Pandya",143,183,326
"Shahbaz Ahmed",59,219,278
"Riyan Parag",93,183,276
"Shahrukh Khan",153,117,270
"Marcus Stoinis",89,156,245
"Ravichandran Ashwin",44,191,235
"Lalit Yadav",68,161,229
"Evin Lewis",151,73,224
"Axar Patel",40,182,222
"Tim David",1,186,187
"Mahipal Lomror",94,86,180
"Rashid Khan",83,91,174
"Pat Cummins",93,63,156
"Jason Holder",85,58,143
"Ajinkya Rahane",8,133,141
"Sunil Narine",62,71,133
"Washington Sundar",31,101,132
"Anuj Rawat",0,129,129
"Shardul Thakur",5,120,125
"Priyam Garg",72,46,118
"Abdul Samad",111,4,115
"Harshal Patel",59,43,102
"Jaydev Unadkat",41,59,100
"Sarfaraz Khan",0,91,91
"Rahul Chahar",14,77,91
"Harpreet Brar",64,22,86
"Vijay Shankar",58,19,77
"Dwayne Bravo",47,23,70
"Kagiso Rabada",13,48,61
"Manan Vohra",42,19,61
"Bhuvneshwar Kumar",34,24,58
"Mohammed Siraj",20,30,50
"Daniel Sams",6,38,44
"Chris Jordan",32,11,43
"Trent Boult",1,40,41
"Wanindu Hasaranga",1,38,39
"Mandeep Singh",15,18,33
"Ripal Patel",25,6,31
"Anmolpreet Singh",16,13,29
"Shivam Mavi",25,3,28
"Avesh Khan",5,22,27
"Murugan Ashwin",15,12,27
"Tim Seifert",2,24,26
"Arshdeep Singh",2,21,23
"Lockie Ferguson",18,5,23
"Jagadeesha Suchith",14,2,16
"Yuzvendra Chahal",10,5,15
"Fabian Allen",6,8,14
"Marco Jansen",0,9,9
"Kartik Tyagi",2,7,9
"Prasidh Krishna",0,6,6
"Tim Southee",3,2,5
"Navdeep Saini",2,2,4
