Player,Total_Runs
"KL Rahul",670
"Shikhar Dhawan",618
"David Warner",548
"Shreyas Iyer",519
"Ishan Kishan",516
"Quinton de Kock",503
"Suryakumar Yadav",480
"Devdutt Padikkal",473
"Virat Kohli",466
"AB de Villiers",454
"Faf du Plessis",449
"Shubman Gill",440
"Manish Pandey",425
"Mayank Agarwal",424
"Eoin Morgan",418
"Sanju Samson",375
"Ambati Rayudu",359
"Nicholas Pooran",353
"Marcus Stoinis",352
"Nitish Rana",352
"Jonny Bairstow",345
"Rishabh Pant",343
"Rohit Sharma",332
"Jos Buttler",328
"Kane Williamson",317
"Steve Smith",311
"Shane Watson",299
"Chris Gayle",288
"Ben Stokes",285
"Hardik Pandya",281
"Aaron Finch",268
"Kieron Pollard",268
"Rahul Tewatia",255
"Ravindra Jadeja",232
"Rahul Tripathi",230
"Prithvi Shaw",228
"Wriddhiman Saha",214
"Ruturaj Gaikwad",204
"MS Dhoni",200
"Robin Uthappa",196
"Sam Curran",186
"Shimron Hetmyer",185
"Dinesh Karthik",169
"Pat Cummins",146
"Priyam Garg",133
"Mandeep Singh",130
"Shivam Dube",129
"Sunil Narine",121
"Andre Russell",117
"Axar Patel",117
"Ajinkya Rahane",113
"Jofra Archer",113
"Abdul Samad",111
"Washington Sundar",111
"Krunal Pandya",109
"Glenn Maxwell",108
"Saurabh Tiwary",103
"Deepak Hooda",101
"Vijay Shankar",97
"Riyan Parag",86
"Tom Curran",83
"Josh Philippe",78
"Abhishek Sharma",71
"Gurkeerat Mann Singh",71
"Jason Holder",66
"Kedar Jadhav",62
"Mahipal Lomror",59
"Kagiso Rabada",56
"Lockie Ferguson",43
"Krishnappa Gowtham",42
"Yashasvi Jaiswal",40
"Ravichandran Ashwin",37
"Shreyas Gopal",37
"Rashid Khan",35
"Chris Morris",34
"Narayan Jagadeesan",33
"Sarfaraz Khan",33
"Alex Carey",32
"Murali Vijay",32
"Chris Jordan",29
"Navdeep Saini",27
"Nathan Coulter-Nile",25
"Kamlesh Nagarkoti",22
"Harshal Patel",21
"Tushar Deshpande",21
"Jimmy Neesham",19
"Tom Banton",18
"Mohammed Siraj",17
"Karun Nair",16
"Isuru Udana",15
"James Pattinson",15
"Prabhsimran Singh",15
"Imran Tahir",13
"Kuldeep Yadav",13
"Moeen Ali",12
"Sandeep Sharma",12
"Shardul Thakur",12
"Mohammad Nabi",11
"Rinku Singh",11
"Shivam Mavi",10
"Varun Chakaravarthy",10
"Ankit Rajpoot",9
"Jaydev Unadkat",9
"Anrich Nortje",7
"Deepak Chahar",7
"Dwayne Bravo",7
"Pravin Dubey",7
"Ravi Bishnoi",7
"Shahbaz Nadeem",7
"Andrew Tye",6
"Jasprit Bumrah",5
"Kartik Tyagi",4
"Murugan Ashwin",4
"Dhawal Kulkarni",3
"T Natarajan",3
"Mohammad Shami",2
"Prasidh Krishna",2
"Rahul Chahar",2
"Dale Steyn",1
"Mujeeb Ur Rahman",1
"Nikhil Naik",1
"Shahbaz Ahmed",1
"Varun Aaron",1
"Yuzvendra Chahal",1
"Arshdeep Singh",0
"Bhuvneshwar Kumar",0
"Daniel Sams",0
"Khaleel Ahmed",0
"Mitchell Marsh",0
"Sheldon Cottrell",0
"Shreevats Goswami",0
"Trent Boult",0
"Umesh Yadav",0
