Player,Player,Runs
"Jos Buttler","Jos Buttler",863
NULL,"K L Rahul",616
"Quinton de Kock","Quinton De Kock",508
"Hardik Pandya","Hardik Pandya",487
"Shubman Gill","Shubman Gill",483
NULL,"David Miller",481
"Faf du Plessis","Faf Du Plessis",468
"Shikhar Dhawan","Shikhar Dhawan",460
"Sanju Samson","Sanju Samson",458
"Deepak Hooda","Deepak Hooda",451
NULL,"Liam Livingstone",437
"David Warner","David Warner",432
"Abhishek Sharma","Abhishek Sharma",426
"Ishan Kishan","Ishan Kishan",418
"Rahul Tripathi","Rahul Tripathi",413
"Shreyas Iyer","Shreyas Iyer",401
NULL,"Tilak Varma",397
NULL,"Aiden Markram",381
"Devdutt Padikkal","Devdutt Padikkal",376
"Ruturaj Gaikwad","Ruturaj Gaikwad",368
"Nitish Rana","Nitish Rana",361
"Virat Kohli","Virat Kohli",341
"Rishabh Pant","Rishabh Pant",340
"Andre Russell","Andre Russell",335
NULL,"Rajat Patidar",333
"Dinesh Karthik","Dinesh Karthik",330
"Wriddhiman Saha","Wriddhiman Saha",317
"Shimron Hetmyer","Shimron Hetmyer",314
"Nicholas Pooran","Nicholas Pooran",306
"Suryakumar Yadav","Suryakumar Yadav",303
"Glenn Maxwell","Glenn Maxwell",301
"Shivam Dube","Shivam Dube",289
"Prithvi Shaw","Prithvi Shaw",283
"Ambati Rayudu","Ambati Rayudu",274
"Rohit Sharma","Rohit Sharma",268
"Yashasvi Jaiswal","Yashasvi Jaiswal",258
"Jonny Bairstow","Jonny Bairstow",253
NULL,"Devon Conway",252
"Mitchell Marsh","Mitchell Marsh",251
NULL,"Rovman Powell",250
"Moeen Ali","Moeen Ali",244
NULL,"Jitesh Sharma",234
"MS Dhoni","MS Dhoni",232
"Robin Uthappa","Robin Uthappa",230
"Shahbaz Ahmed","Shahbaz Ahmed",219
"Rahul Tewatia","Rahul Tewatia",217
"Kane Williamson","Kane Williamson",216
NULL,"Bhanuka Rajapaksa",206
"Mayank Agarwal","Mayank Agarwal",196
"Ravichandran Ashwin","Ravichandran Ashwin",191
NULL,"Tim David",186
"Riyan Parag","Riyan Parag",183
"Krunal Pandya","Krunal Pandya",183
"Axar Patel","Axar Patel",182
NULL,"Venkatesh Iyer",182
"Rinku Singh","Rinku Singh",174
NULL,"Sam Billings",169
NULL,"Dewald Brevis",161
NULL,"Ayush Badoni",161
